0,1,2,3
"""#15SecondScare""","Coventry, West Midlands, England, UK",52.4081812,-1.510477
"""#15SecondScare""",UK,54.7023545,-3.2765753
"""#15SecondScare""",USA,39.7837304,-100.445882
"""#15SecondScare""","West Hills, California, USA",34.2032325,-118.645476
"""#15SecondScare""",USA,39.7837304,-100.445882
"""#15SecondScare""","West Hills, California, USA",34.2032325,-118.645476
"""#DearGeorgette""","New York City, New York, USA",40.7127281,-74.0060152
"""#DearGeorgette""",USA,39.7837304,-100.445882
"""#KateConwayisaJerk""","Toronto, Ontario, Canada",43.6534817,-79.3839347
"""#KateConwayisaJerk""","Toronto, Ontario, Canada",43.6534817,-79.3839347
"""#KateConwayisaJerk""","Toronto, Ontario, Canada",43.6534817,-79.3839347
"""#KateConwayisaJerk""","Gooderham Building, 49 Wellington Street East, Toronto, Ontario, Canada",43.648366800000005,-79.37439532076982
"""#KateConwayisaJerk""","Toronto, Ontario, Canada",43.6534817,-79.3839347
"""#KateConwayisaJerk""","Broadview Avenue, Toronto, Ontario, Canada",43.657091,-79.3490907
"""#KateConwayisaJerk""","Toronto, Ontario, Canada",43.6534817,-79.3839347
"""#Millennials""",USA,39.7837304,-100.445882
"""#Millennials""","Los Angeles, California, USA",34.0536909,-118.242766
"""#MommasGotBars""","Brooklyn, New York, USA",40.6526006,-73.9497211
"""#MommasGotBars""",USA,39.7837304,-100.445882
"""$tripped""",USA,39.7837304,-100.445882
"""$tripped""",USA,39.7837304,-100.445882
"""$tripped""",USA,39.7837304,-100.445882
"""$tripped""",USA,39.7837304,-100.445882
"""1/4 Mermaid""",USA,39.7837304,-100.445882
"""1/4 Mermaid""","Los Angeles, California, USA",34.0536909,-118.242766
"""1/4 Mermaid""",USA,39.7837304,-100.445882
"""1/4 Mermaid""","Cypress, California, USA",33.8248235,-118.0399368
"""10,000 BC""",Bulgaria,42.6073975,25.4856617
"""100 Frogs""","New York City, New York, USA",40.7127281,-74.0060152
"""100 Frogs""",USA,39.7837304,-100.445882
"""100 Frogs""","Bronx, New York City, New York, USA",40.8466508,-73.8785937
"""100 Frogs""","Manhattan, New York City, New York, USA",40.7896239,-73.9598939
"""100 Frogs""","New York City, New York, USA",40.7127281,-74.0060152
"""100 Frogs""",USA,39.7837304,-100.445882
"""12 Monkeys""","Detroit, Michigan, USA",42.3315509,-83.0466403
"""12 Monkeys""",USA,39.7837304,-100.445882
"""12 Monkeys""","Cinespace Studios, Toronto, Ontario, Canada",43.6300234,-79.52817571309554
"""12 Monkeys""","Toronto, Ontario, Canada",43.6534817,-79.3839347
"""12 Monkeys""","Vaughan, Ontario, Canada",43.7941544,-79.5268023
"""12 Monkeys""","Toronto, Ontario, Canada",43.6534817,-79.3839347
"""12 Monkeys""","Hamilton, Ontario, Canada",43.2560802,-79.8728583
"""12 Monkeys""","Uxbridge, Ontario, Canada",44.1088502,-79.1226768
"""12 Monkeys""","Detroit, Michigan, USA",42.3315509,-83.0466403
"""12 Monkeys""",USA,39.7837304,-100.445882
"""12 Monkeys""","Detroit Institute of Arts Museum, Detroit, Michigan, USA",42.3595105,-83.06452586249985
"""12 Monkeys""",Macedonia,41.6171214,21.7168387
"""12 Monkeys""","Prague, Czech Republic",50.0874654,14.4212535
"""12 Monkeys""","St. Vitus Cathedral, Prague, Czech Republic",50.09086385,14.40057198099588
"""12 Monkeys""","Prague, Czech Republic",50.0874654,14.4212535
"""12 Monkeys""",Macedonia,41.6171214,21.7168387
"""12 Monkeys""","Kratovo, Macedonia",42.079261,22.1802182
"""12 Monkeys""",Macedonia,41.6171214,21.7168387
"""12 Monkeys""","Budapest, Hungary",47.4979937,19.0403594
"""12 Monkeys""","Budapest, Hungary",47.4979937,19.0403594
"""12 Monkeys""",Macedonia,41.6171214,21.7168387
"""120 Seconds""",USA,39.7837304,-100.445882
"""120 Seconds""","Los Angeles, California, USA",34.0536909,-118.242766
"""120 Seconds""",USA,39.7837304,-100.445882
"""120 Seconds""","Los Angeles, California, USA",34.0536909,-118.242766
"""120 Seconds""","Hollywood, Los Angeles, California, USA",34.0980031,-118.329523
"""120 Seconds""","Hollywood Roosevelt Hotel - 7000 Hollywood Blvd., Hollywood, Los Angeles, California, USA",34.100968050000006,-118.34181478202902
"""120 Seconds""",USA,39.7837304,-100.445882
"""120 Seconds""","Los Angeles, California, USA",34.0536909,-118.242766
"""120 Seconds""",USA,39.7837304,-100.445882
"""120 Seconds""","Los Angeles, California, USA",34.0536909,-118.242766
"""120 Seconds""",USA,39.7837304,-100.445882
"""120 Seconds""","Austin, Texas, USA",30.2711286,-97.7436995
"""120 Seconds""","Madison Square Garden, New York City, New York, USA",40.750512900000004,-73.99351594545152
"""120 Seconds""","New York City, New York, USA",40.7127281,-74.0060152
"""120 Seconds""",USA,39.7837304,-100.445882
"""120 Seconds""",USA,39.7837304,-100.445882
"""120 Seconds""","Austin, Texas, USA",30.2711286,-97.7436995
"""120 Seconds""","Hollywood, California, USA",34.0980031,-118.329523
"""120 Seconds""",USA,39.7837304,-100.445882
"""120 Seconds""",USA,39.7837304,-100.445882
"""120 Seconds""","Los Angeles, California, USA",34.0536909,-118.242766
"""120 Seconds""",USA,39.7837304,-100.445882
"""120 Seconds""","Los Angeles, California, USA",34.0536909,-118.242766
"""120 Seconds""","Bootleg Theater - 2220 Beverly Boulevard, Westlake, Los Angeles, California, USA",34.0672037,-118.2721626208771
"""13mil""","Barcelona, Catalonia, Spain",41.3828939,2.1774322
"""13mil""","Barcelona, Catalonia, Spain",41.3828939,2.1774322
"""13mil""","Barcelona, Catalonia, Spain",41.3828939,2.1774322
"""13mil""","Barcelona, Catalonia, Spain",41.3828939,2.1774322
"""13mil""","Barcelona, Catalonia, Spain",41.3828939,2.1774322
"""13mil""","Barcelona, Catalonia, Spain",41.3828939,2.1774322
"""13mil""","Barcelona, Catalonia, Spain",41.3828939,2.1774322
"""13mil""","Barcelona, Catalonia, Spain",41.3828939,2.1774322
"""13mil""","Barcelona, Catalonia, Spain",41.3828939,2.1774322
"""1945: 12 St�dte, 12 Schicksale""",Netherlands,52.2288689,5.3214503
"""1945: 12 St�dte, 12 Schicksale""",Netherlands,52.2288689,5.3214503
"""1945: 12 St�dte, 12 Schicksale""","Nijmegen, Gelderland, Netherlands",51.842574850000005,5.838960628748229
"""1945: 12 St�dte, 12 Schicksale""","Wien, Austria",48.2083537,16.3725042
"""1945: 12 St�dte, 12 Schicksale""",Netherlands,52.2288689,5.3214503
"""1945: 12 St�dte, 12 Schicksale""","Rotterdam, Zuid-Holland, Netherlands",51.9244424,4.47775
"""1945: 12 St�dte, 12 Schicksale""","Amsterdam, Netherlands",52.3727598,4.8936041
"""1945: 12 St�dte, 12 Schicksale""",Netherlands,52.2288689,5.3214503
"""1945: 12 St�dte, 12 Schicksale""",Germany,51.0834196,10.4234469
"""1945: 12 St�dte, 12 Schicksale""","Bergen-Belsen, Niedersachsen, Germany",52.7580569,9.9117992
